Population,LanguageGroup
Mongolian_Innermongolia,Altaic
Mongolian_Liaoning,Altaic
Miao_Guizhou,Hmong_Mien
Miao_Guangxi,Hmong_Mien
Han_Anhui,Sinitic_S
Han_Chongqing,Sinitic_S
Han_Fujian,Sinitic_S
Han_Guangdong,Sinitic_S
Han_Guangxi,Sinitic_S
Han_Guizhou,Sinitic_S
Han_Hainan,Sinitic_S
Han_Hunan,Sinitic_S
Han_Hubei,Sinitic_S
Han_Jiangsu,Sinitic_S
Han_Jiangxi,Sinitic_S
Han_Shanghai,Sinitic_S
Han_Sichuan,Sinitic_S
Han_Taiwan,Sinitic_S
Han_Yunnan,Sinitic_S
Han_Zhejiang,Sinitic_S
Han_Beijing,Sinitic_N
Han_Gansu,Sinitic_N
Han_Hebei,Sinitic_N
Han_Heilongjiang,Sinitic_N
Han_Henan,Sinitic_N
Han_Innermongolia,Sinitic_N
Han_Jilin,Sinitic_N
Han_Liaoning,Sinitic_N
Han_Ningxia,Sinitic_N
Han_Qinghai,Sinitic_N
Han_Shaanxi,Sinitic_N
Han_Shandong,Sinitic_N
Han_Shanxi,Sinitic_N
Han_Tianjin,Sinitic_N
Han_Xinjiang,Sinitic_N
Zhuang_Guangxi,Tai_Kadai
Tibetan_Sichuan,Tibeto_Burman
Yi_Sichuan,Tibeto_Burman
Tujia_Hunan,Tibeto_Burman
Yi_Yunnan,Tibeto_Burman
Mosuo_Sichuan,Tibeto_Burman
